anomaly_type,detector,auroc,n_corrupted
stuck_sensor,mahalanobis,0.480089485458613,15
stuck_sensor,isolation_forest,0.4671140939597316,15
stuck_sensor,lof,0.47046979865771815,15
stuck_sensor,ocsvm,0.4756152125279641,15
stuck_sensor,autoencoder,0.47449664429530203,15
stuck_sensor,tree_disagreement,0.4668903803131991,15
sensor_spike,mahalanobis,0.8572706935123042,15
sensor_spike,isolation_forest,0.6123042505592842,15
sensor_spike,lof,0.7357941834451902,15
sensor_spike,ocsvm,0.7299776286353468,15
sensor_spike,autoencoder,0.7460850111856823,15
sensor_spike,tree_disagreement,0.532662192393736,15
sensor_noise,mahalanobis,0.8093959731543623,15
sensor_noise,isolation_forest,0.5612975391498881,15
sensor_noise,lof,0.6782997762863534,15
sensor_noise,ocsvm,0.6472035794183446,15
sensor_noise,autoencoder,0.6536912751677852,15
sensor_noise,tree_disagreement,0.5751677852348993,15
sensor_drift,mahalanobis,0.568484258357676,79
sensor_drift,isolation_forest,0.659255652926539,79
sensor_drift,lof,0.5560965054635941,79
sensor_drift,ocsvm,0.5379746835443039,79
sensor_drift,autoencoder,0.47414259439575895,79
sensor_drift,tree_disagreement,0.5941252839987017,79
global_shift,mahalanobis,0.7817761213211669,62
global_shift,isolation_forest,0.998843336332091,62
global_shift,lof,0.7886518442359594,62
global_shift,ocsvm,0.7064644647217582,62
global_shift,autoencoder,0.8652486826886004,62
global_shift,tree_disagreement,0.9899755815447886,62
